
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
Mcdonalds, Calea Galati, 10, Braila, Braila, 5, 22, 
